NAME,B25104_001E,B25104_002E,B25104_003E,B25104_004E,B25104_005E,B25104_006E,B25104_007E,B25104_008E,B25104_009E,B25104_010E,B25104_011E,B25104_012E,B25104_013E,B25104_014E,B25104_015E,B25104_016E,B25104_017E,state,county,tract
"Census Tract 9501, Adams County, Washington",1040.0,2.0,28.0,30.0,74.0,72.0,125.0,62.0,153.0,49.0,90.0,207.0,56.0,17.0,2.0,16.0,57.0,53,001,950100
"Census Tract 9502, Adams County, Washington",564.0,0.0,18.0,42.0,67.0,56.0,42.0,38.0,29.0,40.0,40.0,91.0,39.0,7.0,0.0,2.0,53.0,53,001,950200
"Census Tract 9503.01, Adams County, Washington",569.0,30.0,0.0,0.0,58.0,62.0,21.0,40.0,100.0,16.0,43.0,86.0,10.0,14.0,0.0,20.0,69.0,53,001,950301
"Census Tract 9503.02, Adams County, Washington",753.0,0.0,7.0,42.0,36.0,71.0,138.0,26.0,118.0,63.0,100.0,63.0,51.0,19.0,0.0,0.0,19.0,53,001,950302
"Census Tract 9503.03, Adams County, Washington",682.0,0.0,0.0,46.0,6.0,249.0,160.0,22.0,7.0,0.0,19.0,32.0,37.0,78.0,5.0,12.0,9.0,53,001,950303
"Census Tract 9504, Adams County, Washington",895.0,7.0,0.0,35.0,89.0,39.0,46.0,99.0,48.0,42.0,116.0,179.0,123.0,42.0,9.0,0.0,21.0,53,001,950400
"Census Tract 9505, Adams County, Washington",1655.0,0.0,0.0,42.0,143.0,81.0,152.0,107.0,170.0,98.0,147.0,400.0,172.0,93.0,15.0,0.0,35.0,53,001,950500
"Census Tract 9601, Asotin County, Washington",1806.0,0.0,10.0,67.0,116.0,147.0,133.0,234.0,122.0,92.0,40.0,288.0,168.0,109.0,250.0,30.0,0.0,53,003,960100
"Census Tract 9602, Asotin County, Washington",2063.0,0.0,19.0,40.0,180.0,152.0,246.0,164.0,93.0,21.0,33.0,522.0,230.0,143.0,64.0,22.0,134.0,53,003,960200
"Census Tract 9603, Asotin County, Washington",1315.0,0.0,9.0,74.0,94.0,110.0,50.0,149.0,149.0,69.0,65.0,409.0,47.0,49.0,0.0,35.0,6.0,53,003,960300
"Census Tract 9604, Asotin County, Washington",1012.0,0.0,7.0,38.0,96.0,122.0,63.0,66.0,29.0,80.0,117.0,250.0,92.0,24.0,7.0,16.0,5.0,53,003,960400
"Census Tract 9605, Asotin County, Washington",1484.0,0.0,44.0,63.0,143.0,125.0,100.0,119.0,153.0,133.0,168.0,285.0,91.0,29.0,0.0,0.0,31.0,53,003,960500
"Census Tract 9606, Asotin County, Washington",1607.0,0.0,37.0,82.0,174.0,227.0,176.0,101.0,109.0,88.0,27.0,399.0,135.0,0.0,19.0,28.0,5.0,53,003,960600
"Census Tract 101, Benton County, Washington",1984.0,0.0,0.0,0.0,44.0,86.0,227.0,234.0,161.0,96.0,89.0,371.0,380.0,193.0,52.0,35.0,16.0,53,005,010100
"Census Tract 102.01, Benton County, Washington",2287.0,0.0,16.0,39.0,95.0,80.0,209.0,142.0,150.0,58.0,66.0,467.0,522.0,192.0,120.0,56.0,75.0,53,005,010201
"Census Tract 102.03, Benton County, Washington",1707.0,0.0,17.0,0.0,49.0,71.0,108.0,128.0,120.0,57.0,38.0,513.0,445.0,47.0,0.0,14.0,100.0,53,005,010203
"Census Tract 102.04, Benton County, Washington",1400.0,0.0,0.0,58.0,46.0,103.0,0.0,38.0,54.0,136.0,358.0,456.0,151.0,0.0,0.0,0.0,0.0,53,005,010204
